College,Code
Central Lakes College-Brainerd,233900
Carleton College,234000
Concordia College at Moorhead,234600
Concordia University-Saint Paul,234700
Dakota County Technical College,1040200
Martin Luther College,236100
Lake Superior College,575700
Minnesota State Community and Technical College,554100
Minnesota West Community and Technical College,526300
Gustavus Adolphus College,235300
Hamline University,235400
Hennepin Technical College,1049100
Hibbing Community College,235500
Aveda Arts & Sciences Institute Minneapolis,2123200
Inver Hills Community College,974000
Itasca Community College,235600
Macalester College,235800
South Central College,553700
Minnesota State University-Mankato,236000
Mesabi Range College,400900
Metropolitan State University,1037400
University of Minnesota-Twin Cities,396900
University of Minnesota-Crookston,406900
Minneapolis College of Art and Design,236500
Minneapolis Community and Technical College,236200
